AZPS,723740-23194,722747-93084,722740-23160,723788-53135,723860-23169
AECI,724400-13995,724457-3938,723495-13987,724450-3945,724460-3947
AVA,727850-24157,727730-24153,727790-24146,726876-387,727720-24144
BANC,720614-205,724880-23185,724940-23234,723890-93193,726904-24231
BPAT,726876-387,727850-24157,727730-24153,726980-24229,725780-24156
CISO,723890-93193,720614-205,724880-23185,724940-23234,722950-23174
TPWR,727930-24233,720272-94282,727910-94224,726980-24229,727850-24157
DUK,723010-3810,722132-63801,720599-192,723150-3812,723170-13723
EPE,721048-471,722650-23023,722688-93034,722700-23044,722610-22010
ERCO,722666-93943,722560-13959,722660-13962,722530-12921,720299-53966
FPC,722119-12883,722050-12815,722046-12898,722110-12842,722213-12819
GVL,747560-12816,722055-12861,722213-12819,722060-13889,747870-12834
IPCO,726876-387,725780-24156,725825-24121,727730-24153,727850-24157
IID,722900-23188,722950-23174,723788-53135,723860-23169,722740-23160
ISNE,726064-64709,725090-14739,725100-94746,726170-14742,726225-64776
JEA,720738-267,722166-93845,722140-93805,747560-12816,720948-328
LDWP,723890-93193,723860-23169,722950-23174,723788-53135,722900-23188
LGEE,723274-372,723270-13897,724320-93817,720458-476,721031-348
MISO,725420-14931,725292-14976,725440-14923,720476-455,725460-14933
NEVP,725825-24121,724880-23185,723860-23169,723890-93193,725720-24127
NSB,747870-12834,722213-12819,722046-12898,722050-12815,722055-12861
NYIS,725155-94761,725180-14735,725038-14714,725140-14778,726225-64776
NWMT,727750-24143,727720-24144,726770-24033,727730-24153,727790-24146
OVEC,724290-93815,724380-93819,720944-324,724280-14821,720458-476
PACE,725720-24127,724760-23066,724765-93013,724675-23063,724627-3011
PACW,726904-24231,726876-387,726980-24229,727910-94224,727930-24233
PJM,724273-3804,725200-94823,725210-14895,724280-14821,720355-3732
PGE,726980-24229,727910-94224,726904-24231,727930-24233,726876-387
AEC,722268-13839,722223-13899,722280-13876,720948-328,722230-13894
CPLE,723106-13744,720633-219,723170-13723,722132-63801,723020-13748
PSCO,724675-23063,725650-3017,724620-23061,724765-93013,724627-3011
PNM,723663-3012,722747-93084,724620-23061,722700-23044,723740-23194
CHPD,727930-24233,720272-94282,727850-24157,726980-24229,727910-94224
GCPD,727850-24157,727930-24233,720272-94282,726980-24229,726876-387
DOPD,727850-24157,720272-94282,727930-24233,726980-24229,727910-94224
PSEI,727930-24233,720272-94282,727910-94224,726980-24229,727850-24157
SRP,722740-23160,722747-93084,723740-23194,723788-53135,723860-23169
SCL,727930-24233,720272-94282,727910-94224,726980-24229,727850-24157
SEC,722055-12861,722213-12819,747560-12816,722119-12883,722050-12815
SCEG,720602-194,720609-201,723107-371,722080-13880,720604-196
SC,723107-371,720604-196,720633-219,720602-194,720609-201
SOCO,722268-13839,720948-328,720674-249,722170-3813,722280-13876
SWPP,724518-3968,725520-14935,724555-3936,724510-13985,722052-53933
SPA,723408-13814,723340-13893,724975-93809,723439-53918,724350-3816
TEC,722119-12883,722110-12842,722050-12815,722213-12819,722055-12861
TVA,721031-348,723270-13897,723235-13896,723274-372,999999-440
TEPC,723740-23194,722740-23160,722747-93084,723788-53135,723860-23169
TIDC,723890-93193,720614-205,724940-23234,724880-23185,722950-23174
WALC,723860-23169,723788-53135,723740-23194,722950-23174,722900-23188
WACM,725645-24022,725650-3017,724675-23063,726720-24061,724760-23066
WAUW,720866-292,727670-94014,726560-24025,727535-14919,726590-14929
